市町村,タイトル,所在地,緯度,経度,写真1,写真2,写真3,写真4,写真5,写真6,写真7,写真8,写真9,写真10,無線LANAP屋内設置数,無線LANAP屋外設置数,主な設置場所
阿南市,道の駅「公方の郷なかがわ」,徳島県阿南市那賀川町工地22-6,33.95297072,134.6678207,,,,,,,,,,,1,,販売所
海陽町,阿波海南文化村,徳島県海部郡海陽町四方原杉谷73,33.61328605,134.3574494,,,,,,,,,,,1,1,海南文化館エントランス
三好市,阿波池田うだつの家・たばこ資料館（旧真鍋家住宅）,徳島県三好市池田町マチ2465-1,34.0297188,133.8089671,,,,,,,,,,,,1,タバコ資料館入口東側街灯付近
徳島市,アスティとくしま（徳島県産業観光交流センター）,徳島県徳島市山城町東浜傍示1,34.0530402,134.5630891,,,,,,,,,,,1,,エントランス
鳴門市,鳴門・大塚スポーツパーク（オロナミンＣ球場）,徳島県鳴門市撫養町立岩四枚61,34.16722836,134.6161164,,,,,,,,,,,,2,１塁側スタンド、３塁側スタンド
美馬市,吉田家住宅,徳島県美馬市脇町大字脇町55,34.06790326,134.1466319,,,,,,,,,,,1,,事務所前
美波町,ＪＲ四国日和佐駅　観光案内所,徳島県海部郡美波町奥河内字弁才天75-4,33.7292536,134.5306887,,,,,,,,,,,1,,観光案内所
小松島市,小松島市観光案内所,徳島県小松島市南小松島町7-43,34.005953,134.5865549,,,,,,,,,,,1,,待合所
鳴門市,鳴門市観光情報センター,徳島県鳴門市撫養町大桑島字濘岩75-1,34.1888129,134.6109355,,,,,,,,,,,1,,エントランス
鳴門市,鳴門ウチノ海総合公園,徳島県鳴門市鳴門町高島字北679,34.210598,134.5946428,,,,,,,,,,,1,2,遊びの丘、ポートタウン、管理棟
徳島市,徳島県国際交流協会（とくしま国際戦略センター）,徳島県徳島市寺島本町西1-61,34.07435804,134.5514039,,,,,,,,,,,1,,図書スペース
三好市,祖谷のかずら橋,徳島県三好市西祖谷山村善徳162-2,33.87518831,133.8351663,,,,,,,,,,,,1,管理小屋周辺
美波町,道の駅「日和佐」,徳島県海部郡美波町奥河内字寺前493-6,33.7296592,134.5301899,,,,,,,,,,,1,1,物産館、駐車場
三好市,長岡家住宅,徳島県三好市東祖谷落合89-1,33.88105486,133.934204,,,,,,,,,,,,1,長岡家住宅前付近
徳島市,徳島県自治研修センター ,徳島県徳島市南庄町5丁目77-1 ,34.0693356,134.5053761,,,,,,,,,,,1,1,まなびーやるーむ　ほか
徳島市,徳島県精神保健福祉センター ,徳島県徳島市新蔵町3丁目80 ,34.0699925,134.5606794,,,,,,,,,,,3,,ホール付近ほか
徳島市,徳島県東部県土整備局徳島庁舎 ,徳島県徳島市南末広町6-36 ,34.0595909,134.5766778,,,,,,,,,,,4,,２階ロビー付近ほか
徳島市,徳島県徳島保健所 ,徳島県徳島市新蔵町3丁目80 ,34.0699925,134.5606794,,,,,,,,,,,1,,ホール付近
徳島市,徳島県文化の森総合公園文化施設 ,徳島県徳島市八万町向寺山1 ,34.0398174,134.5267075,,,,,,,,,,,13,1,展示室ほか
徳島市,徳島県立阿波十郎兵衛屋敷 ,徳島県徳島市川内町宮島本浦184 ,34.0915816,134.5839739,,,,,,,,,,,1,,観客席
徳島市,徳島県立工業技術センター ,徳島県徳島市雑賀町西開11-2 ,34.0402287,134.5593767,,,,,,,,,,,5,,１階ホールほか
徳島市,徳島県立総合福祉センター ,徳島県徳島市中昭和町1丁目2 ,34.0608906,134.5562743,,,,,,,,,,,5,,ホール付近ほか
徳島市,徳島県立中央テクノスクール ,徳島県徳島市南末広町23-64 ,34.0616157,134.5780332,,,,,,,,,,,9,1,ろうきんホールほか
徳島市,徳島県立文学書道館 ,徳島県徳島市中前川町2丁目22-1 ,34.0800885,134.5540214,,,,,,,,,,,1,,１階サロン
鳴門市,徳島県立鳴門渦潮高等学校(大津キャンパス) ,徳島県鳴門市大津町吉永595 ,34.1652268,134.6020314,,,,,,,,,,,5,1,体育館ほか
鳴門市,鳴門市文化会館 ,徳島県鳴門市撫養町南浜字東浜24番地7 ,34.1702165,134.6111397,,,,,,,,,,,3,,ロビー、ホワイエ
小松島市,小松島市役所 ,徳島県小松島市横須町1番1号 ,34.0047253,134.59066,,,,,,,,,,,2,,１階ロビー
阿南市,椿会館 ,徳島県阿南市椿町浜14 ,33.8312203,134.6775201,,,,,,,,,,,1,,エントランスホール付近
阿南市,羽ノ浦公民館 ,徳島県阿南市羽ノ浦町宮倉大木38-4 ,33.9535524,134.6222941,,,,,,,,,,,1,,エントランスホール付近
阿南市,加茂谷総合センター ,徳島県阿南市加茂町野上22-11 ,33.9214497,134.5530403,,,,,,,,,,,1,,エントランスホール付近
阿南市,橘町総合センター ,徳島県阿南市橘町豊浜36-15 ,33.8720572,134.6410679,,,,,,,,,,,1,,エントランスホール付近
阿南市,桑野公民館 ,徳島県阿南市山口町内田150-1 ,33.8713712,134.6038685,,,,,,,,,,,1,,エントランスホール付近
阿南市,新野公民館 ,徳島県阿南市新野町西馬場18 ,33.84784,134.5819383,,,,,,,,,,,1,,エントランスホール付近
阿南市,大野公民館 ,徳島県阿南市中大野町北傍示440-2 ,33.9331852,134.5948418,,,,,,,,,,,1,,エントランスホール付近
阿南市,長生公民館 ,徳島県阿南市長生町上荒井楠ノ前4-2 ,33.908675,134.6193389,,,,,,,,,,,1,,エントランスホール付近
阿南市,徳島県南部総合県民局 保健福祉環境部阿南庁舎 ,徳島県阿南市領家町野神319 ,33.9251613,134.6714588,,,,,,,,,,,3,,ホール付近ほか
阿南市,徳島県南部総合県民局阿南庁含 ,徳島県阿南市富岡町あ王谷46-1 ,33.9180179,134.6553411,,,,,,,,,,,1,1,１階ホールほか
阿南市,徳島県立南部テクノスクール ,徳島県阿南市桑野町岡元109-1 ,33.8722877,134.6146283,,,,,,,,,,,1,,１階ホール
阿南市,那賀川公民館 ,徳島県阿南市那賀川町今津浦喜来31-1 ,33.9620836,134.6514825,,,,,,,,,,,1,,エントランスホール付近
阿南市,富岡公民館 ,徳島県阿南市富岡町西池田135-1 ,33.9154544,134.6565799,,,,,,,,,,,1,,エントランスホール付近
阿南市,福井町総合センター ,徳島県阿南市福井町古津198-2 ,33.8369225,134.6210665,,,,,,,,,,,1,,エントランスホール付近
吉野川市,吉野川合同庁舎 ,徳島県吉野川市川島町宮島字南中須736-1 ,34.0606675,134.3160783,,,,,,,,,,,1,1,ホールなど
吉野川市,徳島県吉野川保健所 ,徳島県吉野川市鴨島町鴨島106-2 ,34.0675353,134.3585283,,,,,,,,,,,1,,ロビー付近
美馬市,徳島県美馬保健所 ,徳島県美馬市穴吹町穴吹字明連23 ,34.0566975,134.1566455,,,,,,,,,,,1,,研修施設付近
三好市,三好市池田総合体育館 ,徳島県三好市池田町マチ2551-1 ,34.0281684,133.7985313,,,,,,,,,,,,2,屋外駐車場付近
三好市,三野活性化センタ一紅葉の郷 ,徳島県三好市三野町加茂野宮1803-7 ,34.0571425,133.9873582,,,,,,,,,,,1,1,エントランスホール付近
三好市,道の駅「にしいや」 ,徳島県三好市西祖谷山村尾井ノ内348-2 ,33.8891692,133.811312,,,,,,,,,,,,1,休憩スペース
三好市,道の駅「三野」 ,徳島県三好市三野町太刀野1909-1 ,34.0504869,133.9324821,,,,,,,,,,,,1,休憩スペース
三好市,徳島県三好保健所 ,徳島県三好市池田町マチ2542-4,34.0290795,133.8020336,,,,,,,,,,,1,,ロビー付近
三好市,徳島県西部総合県民局三好庁舎 ,徳島県三好市池田町マチ2415,34.0304602,133.8104184,,,,,,,,,,,1,1,大会議室ほか
上勝町,旭基幹集落センター ,徳島県勝浦郡上勝町大字旭字蔭66番地 ,33.8785503,134.389626,,,,,,,,,,,1,,エントランスホール付近
上勝町,月ヶ谷交流センター ,徳島県勝浦郡上勝町大字福原字平間71番地1 ,33.8849959,134.4183106,,,,,,,,,,,2,,エントランスホール付近ほか
上勝町,高鉾公民館 ,徳島県勝浦郡上勝町大字正木字中津66番地 ,33.9208209,134.4281114,,,,,,,,,,,1,,エントランスホール付近
上勝町,上勝町コミュニティセンター ,徳島県勝浦郡上勝町大字福原字下横峯3番地1 ,33.8884623,134.4020793,,,,,,,,,,,1,,エントランスホール付近
上勝町,上勝町老人福祉センター ,徳島県勝浦郡上勝町大字正木字平間110番地1 ,33.9203738,134.4263226,,,,,,,,,,,1,,エントランスホール付近
上勝町,徳島県立高丸山千年の森ふれあい館 ,徳島県勝浦郡上勝町大字旭字中村66-1 ,33.8755259,134.3837019,,,,,,,,,,,1,1,多目的スペースほか
上勝町,福原ふれあいセンター ,徳島県勝浦郡上勝町大字福原字平間45番地2 ,33.8849515,134.4167331,,,,,,,,,,,1,,エントランスホール付近
上勝町,傍示定住センター ,徳島県勝浦郡上勝町大字傍示字下地65番地1 ,33.9156301,134.4197095,,,,,,,,,,,1,,エントランスホール付近
佐那河内村,根郷集会所 ,"徳島県名東郡佐那河内村下字尾端8-1,8-2 ",33.9964744,134.4645514,,,,,,,,,,,1,,エントランスホール付近
佐那河内村,寺谷生活改善センター ,徳島県名東郡佐那河内村下字寺谷104 ,34.0008804,134.4887444,,,,,,,,,,,1,,エントランスホール付近
佐那河内村,西ノハナ運動施設(佐那河内中学校) ,徳島県名東郡佐那河内村下字西ノハナ27 ,33.9940996,134.4584463,,,,,,,,,,,1,,エントランスホール付近
石井町,徳島県立農林水産総合技術支援センター ,徳島県名西郡石井町石井字石井1660 ,34.0623942,134.4402708,,,,,,,,,,,2,,大会議室ほか
神山町,徳島県動物愛護管理センター ,徳島県名西郡神山町阿野字長谷333 ,34.0502207,134.417848,,,,,,,,,,,1,,エントランスホール付近
神山町,徳島県立神山森林公園(イルローザの森) ,徳島県名西郡神山町阿野大地459-1 ,34.0227316,134.4236006,,,,,,,,,,,1,,展示室
那賀町,相生ふるさと交流館 ,徳島県那賀郡那賀町横石字大板35番地 ,33.7963867,134.4486168,,,,,,,,,,,1,1,展示ホールほか
那賀町,那賀町役場本庁舎那賀町地域交流センター,徳島県那賀郡那賀町和食郷字南川104番地1 ,33.857544,134.4967863,,,,,,,,,,,2,1,地域交流センターほか
那賀町,木沢総合防災センター ,徳島県那賀郡那賀町木頭字前田43番地1 ,33.8244868,134.3019947,,,,,,,,,,,1,,待合ロビー
那賀町,木頭文化会館 ,徳島県那賀郡那賀町木頭和無田字マツギ40番地 ,33.7697758,134.1967406,,,,,,,,,,,2,,展示場ほか
牟岐町,徳島県立牟岐少年自然の家 ,徳島県海部郡牟岐町大字灘字東谷116-35 ,33.6687726,134.4430837,,,,,,,,,,,5,3,ロビー付近ほか
美波町,日和佐公民館 ,徳島県海部郡美波町奥河内字寺前153番地1 ,33.7310701,134.5330635,,,,,,,,,,,,1,駐車場付近
美波町,美波町役場 ,徳島県海部郡美波町奥河内字本村18番地1 ,33.7345948,134.5354216,,,,,,,,,,,2,1,１階エントランスホール付近ほか
海陽町,轟物産館 ,徳島県海部郡海陽町平井字王魚谷 ,33.6984725,134.2544351,,,,,,,,,,,,1,物産館入口付近
松茂町,徳島県運転免許センター ,徳島県板野郡松茂町満穂字満穂開拓1-1 ,34.1384957,134.5948882,,,,,,,,,,,,1,屋上付近
北島町,サンライフ北島 ,徳島県板野郡北島町中村字川田9-1 ,34.1257108,134.5460902,,,,,,,,,,,2,,１階ホール付近ほか
北島町,徳島県立防災センター ,徳島県板野郡北島町鯛浜字大西165 ,34.1131899,134.5441185,,,,,,,,,,,5,1,屋外駐車場付近、２・３階　ホールなど
北島町,北島町総合庁舎(公民館) ,徳島県板野郡北島町中村字上地23-1 ,34.1255636,134.5469679,,,,,,,,,,,3,,５，６，７階ホール
北島町,北島町立図書館・創世ホール ,徳島県板野郡北島町新喜来字南古田91 ,34.1261968,134.5464068,,,,,,,,,,,1,,３階ホワイエ
北島町,北島北公園総合体育館 ,徳島県板野郡北島町太郎八須字五反地10-1 ,34.1347406,134.5579908,,,,,,,,,,,3,,２階スタンド席ほか
藍住町,藍住町合同庁舎 ,徳島県板野郡藍住町奥野字矢上前52番地1 ,34.1266957,134.4950817,,,,,,,,,,,1,,町民ホール付近
板野町,板野町役場庁舎 ,徳島県板野郡板野町吹田字町南22-2 ,34.14438,134.4626055,,,,,,,,,,,1,,１階ホール付近
つるぎ町,つるぎの宿　岩戸 ,徳島県美馬郡つるぎ町一宇字赤松6番地9 ,33.9554549,134.0679065,,,,,,,,,,,3,,エントランスホール付近ほか
つるぎ町,つるぎ町就業改善センター ,徳島県美馬郡つるぎ町貞光字宮下61 ,34.0383404,134.0621321,,,,,,,,,,,2,,大会議室ほか
つるぎ町,ラ・フォーレつるぎ山 ,徳島県美馬郡つるぎ町一宇字葛籠6198-2 ,33.8734349,134.076589,,,,,,,,,,,3,,２階宿泊室廊下付近ほか
つるぎ町,道の駅貞光ゆうゆう館 ,徳島県美馬郡つるぎ町貞光字大須賀11番地1 ,34.042626,134.0600296,,,,,,,,,,,2,,ギャラリーほか
つるぎ町,徳島県立西部テクノスクール ,徳島県美馬郡つるぎ町貞光字東浦128-4 ,34.0321299,134.0637042,,,,,,,,,,,1,,体育館
美波町,由岐公民館 ,徳島県海部郡美波町西の地字西地50番地1 ,33.774929,134.5910822,,,,,,,,,,,1,1,会議室付近
海陽町,まぜのおか ,徳島県海部郡海陽町浅川字西福良43 ,33.6228929,134.3691618,,,,,,,,,,,11,2,センターハウスほか
美波町,薬王寺 ,徳島県海部郡美波町奥河内字寺前285番地1 ,33.7323478,134.5276112,,,,,,,,,,,,2,本堂付近
鳴門市,道の駅「第九の里(バラッケ)」 ,徳島県鳴門市大麻町桧字東山田53 ,34.1638897,134.4988142,,,,,,,,,,,1,,休憩スペース
徳島市,徳島県本庁舎 ,徳島県徳島市万代町1丁目1番地 ,34.0657318,134.5592934,,,,,,,,,,,12,,講堂、大会議室など
徳島市,徳島県日峯大神子広域公園,徳島県徳島市大原町大神子7-1,34.0313082,134.5856625,,,,,,,,,,,,3,管理棟ほか
徳島市,徳島県青少年センター(と<ぎんトモニプラザ) ,徳島県徳島市徳島町城内2-1 ,34.07060521,134.5562211,,,,,,,,,,,5,,ホール付近ほか
鳴門市,徳島県鳴門総合運動公園(ポカリスエットスタジアム) ,徳島県鳴門市撫養町立岩字四枚61 ,34.16833269,134.6178396,,,,,,,,,,,,16,スタンド席、コンコースほか
鳴門市,徳島県鳴門総合運動公園（アミノバリューホール）,徳島県鳴門市撫養町立岩字四枚61 ,34.16912807,134.615329,,,,,,,,,,,1,,１階受付付近
徳島市,徳島県立中央武道館 ,徳島県徳島市徳島町城の内6 ,34.07728262,134.5501934,,,,,,,,,,,2,,１階ホールほか
徳島市,徳島合同庁舎 ,徳島県徳島市新蔵町1丁目67 ,34.06977654,134.5581757,,,,,,,,,,,5,1,本館、新館ホールなど
徳島市,徳島県立中央病院 ,徳島県徳島市蔵本町1丁目10-3 ,34.07652193,134.5199723,,,,,,,,,,,7,1,３階付近ほか
鳴門市,徳島県立渦の道 ,徳島県鳴門市鳴門町土佐泊浦福池65 ,34.23594291,134.6416086,,,,,,,,,,,1,,エントランス付近
鳴門市,徳島県立大鳴門橋架橋記念館 ,徳島県鳴門市鳴門町土佐泊浦字福池65 ,34.23502604,134.6401169,,,,,,,,,,,4,,展示ホール
阿南市,見能林公民館 ,徳島県阿南市見能林町念仏免4-1 ,33.9012599,134.6695088,,,,,,,,,,,1,,エントランスホール付近
阿南市,中野島総合センター ,徳島県阿南市柳島町中川原10 ,33.93324201,134.6406989,,,,,,,,,,,1,,エントランスホール付近
阿南市,宝田公民館 ,徳島県阿南市室田町久保田97-1 ,33.92297755,134.6375053,,,,,,,,,,,1,,エントランスホール付近
阿波市,徳島県立吉野川高等学校(土成農場) ,徳島県阿波市土成町成当字尾類515-1 ,34.09840103,134.3253527,,,,,,,,,,,1,1,実習室ほか
美馬市,徳島県西部総合県民局美馬庁舎 ,徳島県美馬市脇町大字猪尻字建神社下南73,34.06557016,134.1625671,,,,,,,,,,,7,1,企画振興部ほか
美馬市,徳島県立美馬野外交流の郷 ,徳島県美馬市美馬町字境目39-10 ,34.04167024,134.0014143,,,,,,,,,,,2,1,センターハウスほか
三好市,徳島県見越第1駐車場 ,徳島県三好市東祖谷菅生見ノ越 ,33.86718678,134.0894238,,,,,,,,,,,1,2,駐車場付近ほか
三好市,徳島県立三好病院 ,徳島県三好市池田町シマ815-2 ,34.02840788,133.8180684,,,,,,,,,,,1,,２階多目的ホー-ル
勝浦町,勝浦町役場 ,徳島県勝浦郡勝浦町大字久国字久保田3番地 ,33.93140313,134.5114083,,,,,,,,,,,1,,１階ホール
佐那河内村,農業総合振興センター,徳島県名東郡佐那河内村下中辺71-1,33.99322171,134.4531097,,,,,,,,,,,1,,エントランスホール付近
那賀町,道の駅「もみじ川温泉」 ,徳島県那賀郡那賀町大久保西納野4-7 ,33.79766177,134.4461944,,,,,,,,,,,,1,休憩スペース
那賀町,道の駅「わじき」 ,徳島県那賀郡那賀町中山関が原34-56 ,33.86900144,134.5546542,,,,,,,,,,,,1,休憩スペース
那賀町,徳島県南部総合県民局那賀庁舎,徳島県那賀郡那賀町吉野弥八かへ64-1 ,33.81308964,134.4764668,,,,,,,,,,,1,,大会議室ほか
美波町,城山高台 ,徳島県海部郡美波町日和佐浦445番地1 ,33.72954082,134.5361334,,,,,,,,,,,,1,駐車場付近
美波町,徳島県南部総合県民局美波庁舎 ,徳島県海部郡美波町奥河内字弁才天17番地1 ,33.72835416,134.5321137,,,,,,,,,,,1,1,正面玄関付近（屋外）ほか
海陽町,船津キャンプ場 ,徳島県海部郡海陽町船津字僧都谷7 ,33.56894405,134.2180961,,,,,,,,,,,1,1,１階エントランスホール付近ほか
海陽町,遊遊NASA ,徳島県海部郡海陽町奥浦字鹿ヶ谷58-3 ,33.5881586,134.3537101,,,,,,,,,,,1,1,１階エントランスホール付近ほか
松茂町,徳島県月見ヶ丘海浜公園 ,徳島県板野郡松茂町豊岡字山ノ手42 ,34.12620611,134.6104896,,,,,,,,,,,1,1,管理事務所、バーベキューハウス
徳島市,藍場浜公園イベント広場 ,徳島県徳島市藍場町 ,34.0733741,134.5478087,,,,,,,,,,,,1,休憩スペース
藍住町,藍住町町民体育館 ,徳島県板野郡藍住町奥野字矢上前18番地1 ,34.1251197,134.4975083,,,,,,,,,,,1,,１階ホール付近
板野町,徳島県立あすたむらんど徳島 ,徳島県板野郡板野町那東字キビガ谷45-22 ,34.15326476,134.4410117,,,,,,,,,,,3,2,こども科学館ほか
上板町,上板町役場庁舎,徳島県板野郡上板町七條字経塚42番地 ,34.1213818,134.404796,,,,,,,,,,,4,1,２階ホール、大会議室ほか
徳島市,徳島県蔵本公園(JAバンク蔵本公園) ,徳島県徳島市庄町1丁目76-2 ,34.07420051,134.5151954,,,,,,,,,,,2,4,スタンド席、子ども広場休憩スペース
阿南市,徳島県南部健康運動公園,徳島県阿南市桑野町桑野谷34-1 ,33.8655113,134.6033756,,,,,,,,,,,1,1,野球場、管理棟付近
那賀町,平谷小学校,徳島県那賀郡那賀町平谷北浦9,33.79499757,134.3014392,,,,,,,,,,,,1,体育館付近
