徳島県内宿泊施設一覧(判明分のみ),,更新日,2014.11.25,,,,,,
ID,施設名,業種,郵便番号,住所,緯度,経度,電話番号,URL,
187,ビジネスホテル おいけ,ビジネスホテル,776-0010,徳島県吉野川市鴨島町鴨島５３７－１,34.073684,134.354876,0883-24-2459,http://oikehotel.com/,
188,ロードサイド,ビジネスホテル,776-0003,徳島県吉野川市鴨島町内原１６０－３,34.070882,134.368419,0883-22-1088,http://www.roadside.jp/,
189,旅館吉野,旅館,776-0033,徳島県吉野川市鴨島町飯尾１４４４－１,34.055764,134.354014,0883-24-1263,,
190,民宿富士,民宿,776-0033,徳島県吉野川市鴨島町飯尾22-1,34.0616442,134.3512372,0883-36-1088,,
191,鴨島温泉「鴨の湯」,保養施設,776-0033,徳島県吉野川市鴨島町飯尾415-1,34.063002,134.361438,0883-22-1926,,
192,すぎむら別館,ビジネス旅館,779-3401,徳島県吉野川市山川町翁喜台１３－１,34.050709,134.230165,0883-42-2223,,
193,ふいご温泉,温泉旅館・観光旅館,779-3406,徳島県吉野川市山川町久宗３１－１,34.033784,134.234142,0883-42-4700,http://fuigo-onsen.com/,
194,米谷旅館,779-3301,,徳島県吉野川市川島町川島420-3,34.0639236,134.3197264,0883-25-2226,,
195,美郷の湯,,779-3505,徳島県吉野川市美郷字奥丸75番地1,34.0391867,134.3013349,0883-43-2626,http://misatonoyu.com/,
196,どこも山,民宿,779-3505,徳島県吉野川市美郷字丸山１４－２,34.0207037,134.3142724,0883-43-2970,http://wwwd.pikara.ne.jp/docomoyama/,
197,ほたるの里,キャンプ場,779-3501,徳島県吉野川市美郷字穴地１０,34.00272,134.251534,0883-43-2525,,
198,村田旅館,旅館,779-3505,徳島県吉野川市美郷字古土地１３１－４,34.031633,134.298944,0883-43-2602,,
199,清月旅館,旅館,779-3503,徳島県吉野川市美郷字宗田320,34.0266357,134.2598998,0883-43-2006,,
200,きのこの里,民宿,779-3501,徳島県吉野川市美郷字田平199-1,34.006549,134.260186,0883-43-2370,http://www.cnet-oe.ne.jp/kinokonosato/,
201,木の夢　ととり,民宿,779-3501,徳島県吉野川市美郷字田平498番地,34.008149,134.261275,0883-43-2373,http://misato-totori.com/,
202,土柱どんどん,ビジネスホテル・旅館,771-1705,徳島県阿波市阿波町桜ノ岡１６２,34.090962,134.205847,0883-35-3808,,
203,土柱パラダイス,民宿・旅館,771-1705,徳島県阿波市阿波町桜ノ岡１６４－１,34.091473,134.205801,0883-35-2785,,
204,土柱ランド新温泉,ビジネスホテル・温泉旅館・観光旅館,771-1705,徳島県阿波市阿波町桜ノ岡１６５,34.091288,134.206046,0883-35-3431,http://dochuland.com/,
205,阿波土柱の湯,保養施設,771-1704,徳島県阿波市阿波町北正広205-1,34.094428,134.212065,0883-35-5471,http://dochunoyu.com/,
206,旅館 八幡,旅館,771-1627,徳島県阿波市市場町大野島字新ノ池８－１,34.092774,134.307884,0883-36-6186,http://www3.ocn.ne.jp/~u-yawata/ryokan/ryokan.html,
207,古民家宿 里山辺,民宿,771-1503,徳島県阿波市土成町浦池１４９３,34.123878,134.321709,088-618-0036,http://d.hatena.ne.jp/satoyamabe/,
208,天然温泉・御所の郷,保養施設,771-1507,徳島県阿波市土成町吉田字梨木原1,34.123834,134.353682,088-695-4615,http://www.goshonosato.com/,
209,へんろ宿越久田屋,民宿,771-1508,徳島県阿波市土成町宮川内字宮ノ下３１－１,34.1212,134.358648,088-695-5322,,
210,御所温泉観光ホテル,ホテル・温泉旅館・観光ホテル,771-1508,徳島県阿波市土成町宮川内字平間４７－２,34.14964,134.352455,088-695-2043,,
211,御所社の森,旅館,771-1508,徳島県阿波市土成町宮川内字落久保７１－２,34.135792,134.349151,088-695-5846,http://www.yashironomori.jp/,
212,アクセス阿波,ビジネスホテル,771-1506,徳島県阿波市土成町土成字寒方５１－４,34.102721,134.344916,088-695-2200,,
213,ホテル百万石,ホテル,771-1506,徳島県阿波市土成町土成字東原９９－２,34.105519,134.347134,088-695-3789,,
214,油屋美馬館,ホテル,777-0005,徳島県美馬市穴吹町穴吹字市ノ下１００－６,34.047591,134.176255,0883-53-7733,http://www1.quolia.ne.jp/~aburaya.mimakan/,
215,ブルーヴィラ あなぶき,ホテル・旅館,777-0006,徳島県美馬市穴吹町口山字丸山１,34.02279,134.15066,0883-55-3777,http://bv-anabuki.com/,
216,水車の里穴吹温泉,民宿・旅館,777-0006,徳島県美馬市穴吹町口山字渕名１０２８－１,34.02608,134.128734,0883-56-0025,http://www.anabukionsen.com/,
217,オートキャンプ場 四国三郎の郷,コテージ・山小屋,771-2107,徳島県美馬市美馬町字境目３９－１０,34.041615,134.001418,0883-55-2002,http://www.mimacamp.jp,
218,浜一旅館,旅館,771-2107,徳島県美馬市美馬町字八幡１３３－１,34.047201,134.019509,0883-63-2559,,
219,剣山頂上ヒュッテ雲海荘,コテージ・ロッジ・山小屋,777-0005,徳島県美馬市木屋平字川井187,33.865,134.092,088-622-0633（冬期：0883-56-0966）,http://tsurugisan-hutte.com/,
220,つるぎの湯　大桜,,777-0302,徳島県美馬市木屋平字川井270,33.933083,134.21296,0883-68-2424,http://www.city.mima.lg.jp/4/66/000317.html,
221,剣山一の森ヒュッテ,コテージ・ロッジ・山小屋,777-0303,徳島県美馬市木屋平字川上カケ５７１,33.855127,134.096242,0883-53-5911,,
222,中尾山高原平成荘,保養施設,777-0303,徳島県美馬市木屋平字太合カケ４４５－１,33.899167,134.138592,0883-68-3422,,
223,交流促進宿泊施設・美村が丘,コテージ・公共の宿・山小屋,779-3638,徳島県美馬市脇町字東大谷１８,34.098817,134.158234,0883-52-5650,http://www.chidori.co.jp/mimura/,
224,ビジネスホテル稲田苑,ビジネスホテル,779-3601,徳島県美馬市脇町字拝原１００１－１,34.068402,134.170999,0883-52-3333,http://www11.plala.or.jp/inadaen/,
225,ビジネス脇プラザ,ビジネスホテル,779-3601,徳島県美馬市脇町字拝原２０２０－３,34.066048,134.169985,0883-53-1126,http://www.infoeddy.ne.jp/~kodak/waki.html,
226,ビジネスホテルマツカ,ビジネスホテル,779-3602,徳島県美馬市脇町猪尻建神社下南153-1,34.065102,134.163233,0883-52-1555,http://www.hotel-matsuka.com/,
227,勇楼旅館,ビジネス旅館,779-4801,徳島県三好市井川町辻２８８－５,34.02902,133.880561,0883-78-2051,http://www.isamurou.com/,
228,井川フィンランドコテージ,,779-4805,徳島県三好市井川町平山7326-26,33.963967,133.883109,0883-78-4311,http://www.ikawaski.jp/stay.html,
229,紅葉温泉,保養施設,771-2302,徳島県三好市三野町加茂野宮1467,34.057828,133.988151,0883-77-2954,,
230,健康とふれあいの森,,771-2304,徳島県三好市三野町芝生1342-3,34.059012,133.969207,0883-77-4320,http://www.miyoshinavi.jp/03asobu/detail.php?genr=102&area=3&uid=SS000007,
231,奥小歩危温泉源氏の里,温泉旅館・民宿,779-5328,徳島県三好市山城町粟山６２７－１４,33.899114,133.707614,0883-86-2372,,
232,賢見温泉,温泉旅館,779-5313,徳島県三好市山城町黒川3-3,33.966,133.743,0883-86-2982,http://www.kenmi.com/,
233,農家民宿　歩危農園,民宿,779-5452,徳島県三好市山城町上名1938,33.8754914,133.7597871,090-1578-161,http://www.ctm.ne.jp/~ooboke-kudo/,
234,ゲストハウス モモンガビレッジ,民宿・旅館,779-5334,徳島県三好市山城町信正１１５３－５,33.963462,133.7204,0883-86-2334,http://momonga-village.com/,
235,大歩危温泉　サンリバー大歩危,ホテル・温泉旅館,779-5451,徳島県三好市山城町西宇１２５９－１,33.911863,133.758569,0883-84-2111,http://www.oobokeonsen.jp/,
236,ホテル大歩危峡まんなか,ホテル・観光ホテル,779-5451,徳島県三好市山城町西宇１６４４－１,33.884039,133.759313,0883-84-1216,http://www.mannaka.co.jp/,
237,田舎のかまや 風流里,民宿,779-5347,徳島県三好市山城町大月３６８－１,33.967951,133.713207,0883-86-1503,,
238,塩塚高原キャンプ場,コテージ・山小屋,779-5337,徳島県三好市山城町平野２０５,33.93648,133.681306,0883-86-3077,http://shiozuka.macearth-shikoku.jp/,
239,旅人の宿なこね,民宿,778-0104,徳島県三好市西祖谷山村榎２４２,33.866253,133.777811,0883-72-5557,http://www13.plala.or.jp/nakone1111/,
240,古民家宿 空音遊,民宿,778-0104,徳島県三好市西祖谷山村榎442,33.86538051,133.7763119,080-6282-3612,http://www.k-n-a.com/,
241,かずら橋キャンプ村,キャンプ場,778-0102,徳島県三好市西祖谷山村閑233,33.879673,133.840878,090-1571-5258,http://www.iyakei-camp.jp/,
242,祖谷の宿　かずらや,ホテル・観光ホテル・旅館,778-0102,徳島県三好市西祖谷山村閑定７８,33.878381,133.840199,0883-87-2831,http://www.ctm.ne.jp/~kazuraya/,
243,お山荘,民宿,778-0102,徳島県三好市西祖谷山村閑定９１－２,33.878217,133.840464,0883-87-2133,,
244,民宿としこ荘,民宿,778-0102,徳島県三好市西祖谷山村今久保339,33.873173,133.832472,0883－87－2842,,
245,レンタルハウスＦＯＲＥＳＴ,コテージ・貸別荘,778-0101,徳島県三好市西祖谷山村重末５６４,33.872039,133.817443,0883-87-2367,http://forest01.web.fc2.com/,
246,いや荘,民宿,778-0102,徳島県三好市西祖谷山村善徳１５７－１１,33.875485,133.833122,0883-87-2242,,
247,民宿みなみ,民宿,778-0102,徳島県三好市西祖谷山村善徳１６０－１６,33.875992,133.835196,0883-87-2342,,
248,祖谷観光旅館,旅館,778-0102,徳島県三好市西祖谷山村善徳１６１,33.875431,133.834073,0883-87-2125,http://www.iyadekomawashi.com/,
249,かずら橋旅館大倉,ビジネス旅館・観光旅館,778-0102,徳島県三好市西祖谷山村善徳161-13,33.875456,133.834357,0883-87-2038,http://www1.ocn.ne.jp/~bonnet/okura.html,
250,新祖谷温泉ホテルかずら橋,ホテル,778-0102,徳島県三好市西祖谷山村善徳３３－１,33.879454,133.826639,0883-87-2171,http://www.kazurabashi.co.jp/,
251,渓谷の宿　祖谷美人,旅館,778-0102,徳島県三好市西祖谷山村善徳９－３,33.883381,133.821313,0883-87-2009,http://iyabijin.jp/,
252,祖谷ふれあい公園キャンプサイト,キャンプ場,778-0101,徳島県三好市西祖谷山村尾井ノ内３７９,33.891529,133.814424,0883-76-8585,,
253,祖谷渓温泉　ホテル秘境の湯,ホテル・観光ホテル,778-0101,徳島県三好市西祖谷山村尾井ノ内４０１,33.890368,133.813352,0883-87-2300,http://www.hotel-hikyounoyu.co.jp/,
254,ビジネスホテル阿波池田,ビジネスホテル,778-0001,徳島県三好市池田町ウヱノ３１５９－２,34.029733,133.79361,0883-72-1010,http://www.businesshotel-awaikeda.com/,
255,松又ビジネスホテル,ビジネスホテル,778-0003,徳島県三好市池田町サラダ１６４９－３,34.027252,133.810651,0883-72-0011,,
256,大黒屋旅館,旅館,778-0005,徳島県三好市池田町シマ８１７－１,34.027851,133.818343,0883-72-0587,,
257,たかおか旅館,旅館,778-0005,徳島県三好市池田町シマ８３８－３,34.027931,133.817433,0883-72-1041,,
258,旅館 青雲荘,旅館,778-0002,徳島県三好市池田町マチ2171-12,34.028088,133.8045221,0883‐72-1436,,
259,ふくや旅館,ビジネス旅館・観光旅館,778-0002,徳島県三好市池田町マチ２１７７－４,34.028151,133.805755,0883-72-0868,http://www5.ocn.ne.jp/~fkuya/,
260,寿司六旅館,旅館,778-0002,徳島県三好市池田町マチ２１７８－５,34.02851,133.805613,0883-72-0205,http://sushiroku.web.fc2.com/,
261,ビジネスホテルヤマシロ,ビジネスホテル,778-0002,徳島県三好市池田町マチ２１８０－１,34.028872,133.805915,0883-72-0277,,
262,マルフク旅館,旅館,778-0002,徳島県三好市池田町マチ２１８１－１１,34.02887,133.805259,0883-72-0027,,
263,丸福旅館,旅館,778-0002,徳島県三好市池田町マチ2181-11,34.028866,133.805267,0883-72-0027,,
264,民宿 岡田,民宿,778-5253,徳島県三好市池田町佐野牛頭５８６,34.001773,133.704384,0883-74-1001,,
265,阿波池田ユースホテル,,778-0040,徳島県三好市池田町字西山佐古3798,34.040564,133.800686,0883-72-5277,http://awaikeda-yh.boy.jp/index.html,
266,山口屋旅館,民宿・旅館,778-0020,徳島県三好市池田町州津宮ノ久保８５４－１,34.040485,133.849464,0883-72-1074,,
267,松尾川温泉　しらさぎ荘,旅館,779-5165,徳島県三好市池田町松尾黒川２－１,33.958572,133.820801,0883-75-2322,,
268,ホテル祖谷温泉,ホテル・温泉旅館,779-5165,徳島県三好市池田町松尾松本３６７－２,33.921396,133.81748,0883-75-2311,http://www.iyaonsen.co.jp/,
269,祖谷渓キャンプ村,キャンプ場,779-5165,徳島県三好市池田町松尾松本524-2,33.945333,133.813825,090-9553-3795,http://www.iyakei-camp.jp,
270,大歩危祖谷阿波温泉　あわの抄,ビジネスホテル・温泉旅館・民宿,778-5251,徳島県三好市池田町白地本名１６５－６,34.015804,133.781398,0120-018-081,http://awanosho.jp/,
271,旅人宿,民宿,778-5251,徳島県三好市池田町白地本名２４９－１,34.009896,133.783412,0883-76-4727,,
272,民宿 白地荘,ビジネス旅館・観光旅館・民宿,778-5251,徳島県三好市池田町白地本名７５５－２,34.010681,133.778867,0883-74-0487,http://www12.ocn.ne.jp/~hakuchi/index.html,
273,白地温泉 小西旅館,割ぽう旅館・観光旅館,778-5251,徳島県三好市池田町白地本名７６－２,34.016199,133.783396,0883-74-0311,http://hakuchionsen.com/,
274,平家荘,民宿,778-0204,徳島県三好市東祖谷京上１５３－５,33.868631,133.904982,0883-88-2848,,
275,旅の宿　奥祖谷,ビジネスホテル・ビジネス旅館・観光旅館,778-0204,徳島県三好市東祖谷京上１６１－３,33.867452,133.903752,0883-88-2045,http://www.okuiya.jp/,
276,よしだ旅館,ビジネスホテル・旅館,778-0204,徳島県三好市東祖谷京上４３４,33.868412,133.905219,0883-88-2843,,
277,丸石パークランド,ホテル・旅館,778-0201,徳島県三好市東祖谷菅生620-1,33.854241,134.044181,0883-88-2768,,
278,劔神社,宿坊・民宿,778-0201,徳島県三好市東祖谷菅生２０３,33.868217,134.0906,0883-67-5017,http://www.ctm.ne.jp/~turugijinjya/,
279,平家の宿,民宿,778-0201,徳島県三好市東祖谷菅生２０５,33.867732,134.09,0883-67-5296,http://heike28soba.web.fc2.com/index.html,
280,民宿　霧の峰,民宿,778-0201,徳島県三好市東祖谷菅生２０５－８,33.867639,134.089697,0883-67-5211,http://www.kirinomine.jp/,
281,いやしの温泉郷,,778-0201,徳島県三好市東祖谷菅生28番地,33.868814,133.978921,0883-88-2975,http://iyashino-onsenkyo.com/,
282,松浦商店/民宿松浦,民宿,778-0201,徳島県三好市東祖谷菅生３９９,33.854143,134.021314,0883-88-2131,,
283,奥祖谷二重かずら橋キャンプ場,キャンプ場,778-0201,徳島県三好市東祖谷菅生620,33.853546,134.046303,0883-88-2640,,
284,民宿まつうら,民宿,778-0201,徳島県三好市東祖谷菅生見ノ越,33.867965,134.089463,0883-67-5009,http://turugi-yado.com/index.php,
285,?庵(ちいおり) ,民宿,778-0206,徳島県三好市東祖谷釣井209番地,33.864144,133.862572,0883-88-5290,http://www.chiiori.org/,
286,龍宮崖コテージ,コテージ・キャンプ場,778-0206,徳島県三好市東祖谷釣井438-3,33.860309,133.877248,080-2981-6221,http://www.ryugugake.com/,
287,桃源郷祖谷の山里,民宿,778-0206,徳島県三好市東祖谷和田９７－１３,33.863766,133.876314,0883-88-2540,http://www.tougenkyo-iya.jp/,
288,ウマバー,シェアレジデンス,,徳島県三好市池田町白地ウマバ464,34.035454,133.782109,03-6386-5300,https://www.facebook.com/ub1.jp,
289,ふれあいの里 さかもと,公共の宿,771-4308,徳島県勝浦郡勝浦町大字坂本字宮平１－５,33.936083,134.453331,0885-44-2110,http://www18.atpages.jp/fureaisakamoto/,
290,金子屋,民宿,771-4303,徳島県勝浦郡勝浦町大字生名字石垣３－１,33.92985,134.519613,0885-42-2721,,
291,ヤマニシ旅館,旅館,771-4502,徳島県勝浦郡上勝町大字旭字中村５４－１,33.875399,134.383069,0885-46-0005,,
292,山の楽校 自然の宿あさひ,旅館,771-4502,徳島県勝浦郡上勝町大字旭字中村７２,33.875624,134.383987,0885-46-0249,http://asahi.ina-ka.com/index02.html,
293,福原荘,民宿,771-4501,徳島県勝浦郡上勝町大字福原字平間６５,33.884505,134.417605,0885-46-0107,,
294,月ケ谷温泉・月の宿,温泉旅館,771-4501,徳島県勝浦郡上勝町大字福原字平間71-1,33.884998,134.418303,0885-46-0203,http://www.e-kamikatsu.jp/,
295,花びより,民宿,771-4500,徳島県勝浦郡上勝町大字旭字中村116,33.876908,134.384191,0885-33-1837,http://s.ameblo.jp/minsyukuhanabiyori/,
296,里がえり,民宿,771-4500,徳島県勝浦郡上勝町大字旭字葉利27-2,33.8789084,134.3663399,0885-46-0293,http://kamikatsu-tourist.com/kamikatsu-minsyuku,
297,わっか,民宿,771-4500,徳島県勝浦郡上勝町大字正木字六十ブ48-1,33.927094,134.424388,0885-45-0458,http://kamikatsu-tourist.com/kamikatsu-minsyuku,
298,山埃,民宿,771-4500,徳島県勝浦郡上勝町大字生実字下野81-1,33.8906036,134.3985714,0885-46-0356,http://kamikatsu-tourist.com/kamikatsu-minsyuku,
299,やまよし旅館,旅館,771-4101,徳島県名東郡佐那河内村下字中川原１２－４,33.992776,134.454291,088-679-2406,,
300,丸利旅館,旅館,771-4102,徳島県名東郡佐那河内村上字井開１０,33.990174,134.44046,088-679-2151,,
301,松の家旅館,旅館,779-3233,徳島県名西郡石井町石井字石井３５８－１,34.070367,134.445063,088-674-2421,,
302,神山温泉　ホテル四季の里＆いやしの湯,ホテル・温泉旅館,771-3310,徳島県名西郡神山町神領字本上角８０－２,33.971772,134.370083,088-676-1117,http://kamiyama-spa.com,
303,神山マスの家(神山スキーランド),ホテル,771-3421,徳島県名西郡神山町下分字三ツ木３２,33.949965,134.311719,088-677-0126,,
304,さくらや旅館,旅館,771-3311,徳島県名西郡神山町神領字北91-1,33.967497,?134.346827,088-676-0036,,
305,鍋岩荘,旅館,771-3421,徳島県名西郡神山町下分字鍋岩65-2,33.985168,134.32897,088-677-0181,,
306,植村旅館,旅館,771-3202,徳島県名西郡神山町阿野字本名１２－１,34.008465,134.374767,088-678-0859,,
307,田中屋旅館,旅館,771-3422,徳島県名西郡神山町上分字川又２１８－２,33.957768,134.2825,088-677-0019,,
308,大塚旅館,旅館,771-3422,徳島県名西郡神山町上分字川又２２１－２,33.957586,134.281802,088-677-0027,,
309,桜屋旅館,旅館,771-3311,徳島県名西郡神山町神領字北９１－１,33.967497,134.346806,088-676-0036,,
310,つじ荘,民宿,771-3310,徳島県名西郡神山町神領字本上角１５７－１,33.973222,134.370935,088-676-0619,,
311,明日香,民宿,771-3310,徳島県名西郡神山町神領字本上角６８,33.971916,134.370726,088-676-1158,,
312,岳人の森キャンプ場,キャンプ場,771-3422,徳島県名西郡神山町上分字中津土須峠,33.925488,134.271213,088-677-1147,http://gakujin-no-mori.net/,
313,コットンフィールドキャンプ場,キャンプ場,771-3310,徳島県名西郡神山町神領字西上角２７２,33.96893,134.369615,088-676-0803,http://www.cottonfield.jp/,
314,軽井沢レジャーランド,キャンプ場,771-3201,徳島県名西郡神山町阿野字南馬喰草69,34.034584,134.40644,088-678-0981,http://www.karuizawa-camp.com/,
315,プチペンションやすらぎ,ペンション,771-3201,徳島県名西郡神山町阿野字南行者野３４９－１,34.036717,134.422315,088-678-0198,,
316,四季美谷温泉,,771-5411,徳島県那賀郡那賀町横谷字夏切3-3,33.863208,134.250821,0884-65-2116,http://shikibidani-onsen.com/,
317,コテージみやこわすれ,,771-6103,徳島県那賀郡那賀町出羽字母林3-4-2,33.847082,134.329102,0884-65-2018,http://wwwa.njctv.ne.jp/njcs0077/,
318,もみじ川温泉,,771-5410,徳島県那賀郡那賀町大久保字西納野4-7,33.797635,134.446173,0884-62-1171,http://momijigawa-spa.com/,
319,にしはら,ビジネス旅館,771-5406,徳島県那賀郡那賀町延野字大原２３３－２,33.820439,134.480205,0884-62-0027,,
320,わじき温泉,ビジネス旅館・温泉旅館,771-5206,徳島県那賀郡那賀町百合字松の木３１０－１,33.838711,134.495962,0884-62-1289,,
321,さくらぎ館,ビジネス旅館・観光旅館,771-6321,徳島県那賀郡那賀町平谷字小松原８－６,33.792082,134.299858,0884-67-0024,,
322,田村旅館,ビジネス旅館,771-6321,徳島県那賀郡那賀町平谷字西浦１３,33.792552,134.300866,0884-67-0002,,
323,淡水荘,旅館,771-5329,徳島県那賀郡那賀町竹ヶ谷字長門１４７,33.840752,134.379921,0884-62-1378,,
324,まるい旅館,旅館,771-5406,徳島県那賀郡那賀町延野字王子１２－１,33.822641,134.480485,0884-62-0031,,
325,相生旅館,旅館,771-5406,徳島県那賀郡那賀町延野字王子４５－１,33.822009,134.479815,0884-62-0072,,
326,平和旅館,旅館,771-6105,徳島県那賀郡那賀町木頭字広瀬５－６,33.830016,134.299543,0884-65-2416,,
327,小森旅館,旅館,771-6402,徳島県那賀郡那賀町木頭出原字シモマチ３４,33.771267,134.201808,0884-68-2810,,
328,一家屋,民宿・レストラン,771-6403,徳島県那賀郡那賀町木頭和無田ｲﾜﾂｼ27,33.771176,134.196642,0884-68-2498,,
329,民宿たき,民宿・旅館,771-5503,徳島県那賀郡那賀町小浜４７６－６,33.802929,134.366363,0884-66-0209,,
330,道の宿そわか,民宿・旅館,771-5203,徳島県那賀郡那賀町和食郷字田野５０－１,33.863113,134.501474,0884-62-0701,http://yado-sowaka.com/,
331,農村レストラン　いづりは,民宿,771-6103,徳島県那賀郡那賀町出羽字母林3,33.846667,134.328862,08846-5-2018,http://wwwa.njctv.ne.jp/njcs0077/,
332,ファガスの森 高城,バンガロー,771-6114,徳島県那賀郡那賀町沢谷字釜ヶ谷1-1,33.90467,134.232588,0884-65-2116,http://shikibidani-onsen.com/fagus_top/fagus_home.html,
333,美那川キャンプ村,キャンプ場,771－6511,徳島県那賀郡那賀町木頭折宇野久保谷45－1,33.74397,134.15435,0884-68－2333,http://www.nett.ne.jp/kankou/kouen/minagawa/,
334,那賀町鷲敷野外活動センター,キャンプ場,771-5206　,徳島県那賀郡那賀町百合字松の木178,33.840394,134.494008,0884-62-2524,http://www.waziki-camping.com/yagai/index.html,
335,鷲敷ライン林間キャンプ村,キャンプ場,771-5206　,徳島県那賀郡那賀町百合字松の木238-1,33.838508,134.48423,0884-62-1186,http://www.waziki-camping.com/camp/index.html,
336,相生森林文化公園あいあいらんど,キャンプ場,771-5411,徳島県那賀郡那賀町横石字大板53-19,33.796358,134.448562,0884-62-3116,http://aiai-land.net/cottage.html,
337,シャンティシャンティ,民宿,775-0013,徳島県海部郡牟岐町出羽島45-2,33.63616,134.423116,0884-72-3510,https://ja-jp.facebook.com/tebajimaguesthouseShantishanti,
338,民宿船戸荘,民宿,775-0006,徳島県海部郡牟岐町大字中村字大戸４６,33.659851,134.415811,0884-72-1010,,
339,あづま民宿,民宿,775-0006,徳島県海部郡牟岐町大字中村字本村１０４,33.671469,134.419089,0884-72-0141,,
340,杉本民宿,民宿・旅館,775-0006,徳島県海部郡牟岐町大字中村字本村８５－３,33.670438,134.420697,0884-72-0237,,
341,内妻荘,民宿,775-0007,徳島県海部郡牟岐町大字内妻字丸山３,33.659336,134.400405,0884-72-1674,,
342,やさか民宿,割ぽう旅館・民宿,775-0007,徳島県海部郡牟岐町大字内妻字白木３４,33.660034,134.406173,0884-72-1090,,
343,活魚料理家形船,民宿,775-0007,徳島県海部郡牟岐町大字内妻字白木３４,33.660057,134.406188,0884-72-2830,,
344,サーフィン内妻,民宿,775-0007,徳島県海部郡牟岐町大字内妻字白木６２－１,33.660167,134.404888,0884-72-0733,,
345,しらきや,宿坊・釣宿・民宿,775-0007,徳島県海部郡牟岐町大字内妻字白木６８－２,33.660673,134.403169,0884-72-0788,http://www4.plala.or.jp/shirakiya/index.htm,
346,砂美かたやま,民宿,775-0005,徳島県海部郡牟岐町大字灘字下浜辺６－１,33.664354,134.430868,0884-72-1727,http://sabi.jp.net/,
347,徳島県立牟岐少年自然の家,保養施設,775-0005,徳島県海部郡牟岐町大字灘字東谷１１６－３５,33.668671,134.443125,0884-72-2811,http://www.mugi-nature.com/,
348,ホテル白い燈台,ホテル,779-2304,徳島県海部郡美波町日和佐浦４５５,33.737181,134.544691,0884-77-1170,http://www.shiroitodai.jp/,
349,イザリCafe,民宿,779-2107,徳島県海部郡美波町伊座利301-2,33.802691,134.669115,0884-78-1186,http://izari.sblo.jp/,
350,きよ美旅館,旅館,779-2305,徳島県海部郡美波町奥河内字寺前１１２,33.732163,134.531712,0884-77-0550,,
351,ふなつき旅館,旅館,779-2305,徳島県海部郡美波町奥河内字寺前１６５,33.731907,134.531708,0884-77-0168,,
352,薬王寺温泉,温泉旅館,779-2305,徳島県海部郡美波町奥河内字寺前２５６－７,33.731743,134.528548,0884-77-1126,http://yakuouji.net/onsen/index.html,
353,喜久栄,民宿,779-2305,徳島県海部郡美波町奥河内字寺前４９０－２３,33.729874,134.531457,0884-77-0159,,
354,平しげ旅館,旅館,779-2305,徳島県海部郡美波町奥河内字寺前４９０－７,33.730045,134.532952,0884-77-0072,,
355,むらかみ旅館,旅館,779-2305,徳島県海部郡美波町奥河内字弁才天６８－１,33.727381,134.531209,0884-77-0083,,
356,ビジネスホテル．ケアンズ,ビジネスホテル,779-2305,徳島県海部郡美波町奥河内字弁才天７５－１7,33.728924,134.531035,0884-77-1211,http://www.hotel-cairns.net/,
357,弘陽荘,民宿,779-2305,徳島県海部郡美波町奥河内字本村７０,33.734068,134.536598,0884-77-1006,,
358,農家民宿クニ舛田,民宿,779-2303,徳島県海部郡美波町恵比須浜字田井218,33.747537,134.557199,0884-77-2173,http://www.kuni-masuda.com　,
359,美波町体験活動施設南阿波サンラインモビレージ,公共の宿,779-2307,徳島県海部郡美波町山河内字明丸１－１,33.692637,134.489474,0884-77-0709,http://www.awasun.com/,
360,ゆき荘,民宿・旅館,779-2101,徳島県海部郡美波町西由岐字愛宕山１３－７,33.769342,134.590423,0884-78-0513,,
361,橋本屋旅館,割ぽう旅館・観光旅館,779-2101,徳島県海部郡美波町西由岐字東１８,33.772121,134.590606,0884-78-0033,,
362,明山荘,釣宿・民宿,779-2109,徳島県海部郡美波町田井82-9,33.772624,134.585727,0884-78-1717,,
363,樹園,割ぽう旅館・釣宿・民宿,779-2109,徳島県海部郡美波町田井８３４－５,33.769015,134.577237,0884-78-1695,http://park.geocities.jp/jetkh211/,
364,国民の宿 うみがめ荘,旅館,779-2304,徳島県海部郡美波町日和佐浦３７０－４,33.735437,134.541171,0884-77-1166,http://umigamesou.com/?mid=access,
365,ふれあいの宿 遊遊NASA,ホテル・公共の宿・旅館,775-0302,徳島県海部郡海陽町奥浦字鹿ケ谷５８－３,33.588144,134.353692,0884-73-0300,http://www.uu-nasa.co.jp,
366,民宿かいふ,民宿,775-0302,徳島県海部郡海陽町奥浦字西分２２－１,33.594133,134.353294,0884-73-4522,,
367,旅館みなみ,旅館,775-0302,徳島県海部郡海陽町奥浦字町内１２３－１,33.593754,134.355859,0884-73-1373,,
368,生本旅館,旅館,775-0302,徳島県海部郡海陽町奥浦字町内１７１－１,33.593926,134.35601,0884-73-1350,,
369,はるる亭,民宿,775-0502,徳島県海部郡海陽町久保字板取２３１－１,33.576088,134.308313,0884-76-2282,,
370,愛宕旅館,旅館,775-0501,徳島県海部郡海陽町宍喰浦字宍喰358-4,33.565725,134.303141,0884-76-2037,http://wwwa.pikara.ne.jp/atago/,
371,ペンションししくい,コテージ・ペンション・山小屋,775-0501,徳島県海部郡海陽町宍喰浦字古目８４－１８,33.560283,134.311198,0884-76-2130,http://www.p-shishikui.com/,
