タクシー会社一覧 (判明分),,,2014/7/31,,,,,,
ID,会社名,郵便番号,住所,緯度,経度,電話,FAX,ＵＲＬ,備考
42,栄タクシー,779-3122,徳島県徳島市国府町府中５７８－４,34.0714904,134.4795867,"0120-421391,088-642-1391",088-642-6180,,
43,ＡＷＡ－ＦＵＫＵ株式会社,779-3105,徳島県徳島市国府町東高輪２９７－１,34.0934016,134.4822309,088-643-2377,088-643-2378,,
44,鮎喰川タクシー,779-3118,徳島県徳島市国府町井戸堂ノ裏５１－１,34.0856387,134.4840613,"0120-421050,0800-4000800,088-642-1050",,,介護タクシー　0120-421050
45,有限会社ことぶきタクシー,770-0802,徳島県徳島市吉野本町３丁目１９,34.081155,134.5513605,"088-622-8919,088-653-6559",,,
46,四国タクシー,770-0802,徳島県徳島市吉野本町１丁目１０－１,34.0798051,134.55058,"088-622-1262,088-622-1303",088-622-1264,http://www15.ocn.ne.jp/~shikoku/index.html,
47,清水タクシー,770-0804,徳島県徳島市中吉野町3-42-1,34.0842991,134.5528991,088-654-0673,,,
48,北島タクシー吉成営業所,771-1153,徳島県徳島市応神町吉成轟５８－１１,34.1187891,134.5302612,088-641-0313,,,
49,渭東タクシー,770-0863,徳島県徳島市安宅１丁目７－９,34.0699564,134.5717506,088-622-7369,,,
50,安全タクシー有限会社,770-0046,徳島県徳島市鮎喰町２丁目７７,34.0722545,134.5002515,"088-631-4988,0120-314988",088-633-2141,http://anzentaxi.jp/,
51,徳島第一交通株式会社鳴門営業所,772-0017,徳島県鳴門市撫養町立岩元地３０１,34.1747067,134.6183344,088-685-7777,,www.daiichi-koutsu.co.jp/,
52,すみとも介護タクシー,772-0003,徳島県鳴門市撫養町南浜馬目木３２－１,34.172962,134.5982429,088-679-4988,,,
53,鳴門第一タクシー有限会社,772-0003,徳島県鳴門市撫養町南浜東浜５１２,34.175973,134.6084719,"088-685-5555,0120-196196",088-685-5111,,
54,株式会社ＧＥＮＫＩ・杉介護タクシー,772-0002,徳島県鳴門市撫養町斎田西発１１－２,34.1720483,134.6022923,088-677-7783,,,
55,介護タクシー南風,779-0225,徳島県鳴門市大麻町桧尾山谷１１７－１４,34.15958,134.494918,088-689-4304,,,
56,板東タクシー,779-0232,徳島県鳴門市大麻町板東辻見堂６９－１,34.155624,134.5069938,088-689-1245,,http://www.tv-naruto.ne.jp/bando-taxi/,
57,有限会社堀江タクシー,779-0302,徳島県鳴門市大麻町大谷中通１１－５,34.1607546,134.5379434,"0120-054633,088-689-3331",,,
58,鳴門観光タクシー,771-0360,徳島県鳴門市瀬戸町明神板屋島６０－３,34.1977615,134.5849808,"0120-055025,088-685-9999",088-685-9998,http://www10.ocn.ne.jp/~ebisu99/,
59,介護タクシー錦,771-0360,徳島県鳴門市瀬戸町明神下本城１０６,34.208991,134.577356,088-688-2255,,,
60,介護タクシー並川,771-0360,徳島県鳴門市瀬戸町明神越浦２００,34.2021082,134.5816228,"0120-702816,088-688-2816",088-688-2814,http://dokodemotaxi.com/,
61,日峯タクシー,773-0015,徳島県小松島市中田町新開２６－５,34.0140686,134.5831495,0885-33-1111,,,
62,有限会社共栄タクシー／立江営業所,773-0015,徳島県小松島市立江町前田６６－１７,33.969651,134.608767,0885-33-1000,,,
63,有限会社共栄タクシー／赤石営業所,773-0021,徳島県小松島市赤石町８,33.982118,134.610381,0885-33-2000,,,
64,特別養護老人ホーム千歳苑介護タクシー,773-0001,徳島県小松島市小松島町元根井５４－１,34.0153574,134.5911596,0885-33-2040,,,
65,橘タクシー,774-0023,徳島県阿南市橘町東中浜８４－２５,33.8744263,134.6437094,"0120-270018,0884-27-0018",,,
66,橘タクシー／阿南駅前営業所,774-0030,徳島県阿南市富岡町今福寺４２－８,33.9187844,134.6619238,"0120-220253,0884-22-0253",,,
67,橘タクシー／橘駅前津乃峰営業所,774-0021,徳島県阿南市津乃峰町東分１１７－１９,33.8887746,134.6524307,"0120-270144,0884-27-0144",,,
68,富岡タクシー,774-0030,徳島県阿南市富岡町トノ町９９－４,33.920873,134.656641,"0120-223422,0884-22-3422",,,
69,毎日タクシー有限会社,774-0030,徳島県阿南市富岡町あ石１２－１０,33.9182262,134.6619627,"0120-221420,0884-22-1420",,,
70,有限会社今津タクシー,779-1115,徳島県阿南市那賀川町敷地２２８－６,33.9636613,134.6476329,0884-42-0724,,,
71,中島タクシー,779-1242,徳島県阿南市那賀川町赤池１７５－４,33.9408728,134.6647594,0884-42-1177,,,
72,アイ介護タクシー,774-0021,徳島県阿南市津乃峰町長浜４３３－４２,33.8882969,134.657683,0884-27-0199,,,
73,津乃峰タクシー,774-0021,徳島県阿南市津乃峰町長浜２７０－２,33.8906938,134.6552082,"0884-27-0334,0884-27-0595",,,
74,阿南タクシー有限会社,774-0009,徳島県阿南市西路見町江川６７－１,33.9276137,134.6777136,"0120-220759,0884-22-2717",,,
75,新野タクシー有限会社,779-1510,徳島県阿南市新野町花坂４８,33.8473014,134.5995917,0884-36-3131,,,
76,上中タクシー有限会社,774-0044,徳島県阿南市上中町南島７０７－１,33.9347552,134.6227691,"0120-224745,0884-22-2335",,,
77,介護タクシー・みやび,774-0049,徳島県阿南市上大野町清松２５－１,33.9366398,134.5804017,"0120-094113,0884-23-1832",0884-23-1532,http://www.suiunji.co.jp/index.html,
78,桑野タクシー,779-1402,徳島県阿南市桑野町岡元５－９,33.8749513,134.6128924,"0120-480221,0884-26-0221",,,
79,加茂谷タクシー,771-5172,徳島県阿南市吉井町片山４１－１,33.9214942,134.5587147,"0884-25-0070,0884-35-1211",,,
80,有限会社共栄タクシー,779-1101,徳島県阿南市羽ノ浦町中庄上ナカレ３１?１,33.957113,134.627148,0884-44-4444,,,
81,有限会社あすみ／介護福祉タクシー,779-1101,徳島県阿南市羽ノ浦町中庄上ナカレ２６－１,33.9561408,134.6269686,0884-44-6399,,,
82,丸富タクシー,779-1105,徳島県阿南市羽ノ浦町古庄大坪原５８－３,33.9437872,134.6229357,"0120-122244,0884-44-2244",,,
83,美郷タクシー,779-3504,徳島県吉野川市美郷峠４５１,34.0324043,134.2553532,0883-43-2406,,,
84,こだまタクシー,779-3302,徳島県吉野川市川島町山田湯吸１５２－５,34.0505532,134.3287063,0883-25-5511,,,
85,有限会社川島タクシー,779-3304,徳島県吉野川市川島町宮島６９９－７,34.061799,134.315674,0883-25-2553,,,
86,学タクシー,779-3306,徳島県吉野川市川島町学吉本１－８,34.05816,134.2867857,0883-25-2020,,,
87,吉野川民間救急サービス,779-3402,徳島県吉野川市山川町天神２２－２,34.0640396,134.2688096,0883-26-4199,,,
88,山瀬観光有限会社,779-3403,徳島県吉野川市山川町前川１６７－２,34.0595033,134.2374321,0883-42-2075,,http://www.yamasekanko.net/,
89,ハートこあら（ＮＰＯ法人）訪問介護・介護福祉タクシー,779-3404,徳島県吉野川市山川町川田１３８７－４,34.0591892,134.2228528,0883-42-6341,,,
90,介護タクシー真,776-0031,徳島県吉野川市鴨島町敷地５１４－１,34.055506,134.3485347,0883-26-1088,,,
91,阿波福祉介護サービス株式会社,776-0014,徳島県吉野川市鴨島町知恵島９０４－１０,34.0776701,134.350415,0883-36-9380,0883-36-9381,,
92,吉野川福祉交通有限会社,776-0014,徳島県吉野川市鴨島町知恵島809,34.0789754,134.3491207,0883-24-4121,,,
93,麻植タクシー,776-0010,徳島県吉野川市鴨島町鴨島５２６－１３,34.0736068,134.3549979,0883-24-2314,,,
94,鴨島タクシー,776-0010,徳島県吉野川市鴨島町鴨島４９９－２,34.0722625,134.3563451,0883-24-2345,,,
95,さくらタクシー,776-0010,徳島県吉野川市鴨島町鴨島１４４－１０,34.0686824,134.3598449,0883-24-2269,,,
96,麻植タクシー土成営業所,771-1506,徳島県阿波市土成町土成南原８１－７,34.1037587,134.3412075,088-695-2006,,,
97,八幡交通タクシー有限会社,771-1623,徳島県阿波市市場町切幡池ノ本２００－５,34.0926847,134.303911,"0120-363109,0883-36-3109",0883-36-6255,,
98,有限会社市場交通,771-1603,徳島県阿波市市場町市場岸ノ下３０３,34.0923593,134.2745111,"0120-462010,0883-36-2010",,,
99,阿波タクシー,771-1610,徳島県阿波市市場町香美秋葉本８２－１２,34.0847353,134.2836271,0883-36-2323,,,
100,土柱タクシー訪問介護,771-1706,徳島県阿波市阿波町南整理１４４－２,34.0730789,134.2020765,"0120-352343,0883-35-2343",0883-26-5258,,
101,土柱タクシー訪問介護／谷島営業所,771-1701,徳島県阿波市阿波町王地２６８－５,34.0839317,134.2528938,"0120-352158,0883-35-2158",,,
102,株式会社阿波すだち,771-1704,徳島県阿波市阿波町南五味知１０４－２,34.089856,134.2365201,0883-35-2011,,http://awasudachi.com/index.html,
103,有限会社オリーブ介護支援センター,779-3602,徳島県美馬市脇町猪尻建神社下南１６４－１,34.0734371,134.1672108,0883-53-8833,,,
104,株式会社うだつタクシー,779-3601,徳島県美馬市脇町拝原５２８,34.0734371,134.1672108,"0120-001094,0883-52-1094",,,
105,有限会社剣渓タクシー駅前案内所,779-3601,徳島県美馬市脇町拝原528,34.0480892,134.0520386,0883-53-0715,,,
106,有限会社剣山タクシー,771-2106,徳島県美馬市美馬町天神１１－１,34.046481,134.0210904,0883-63-2055,,,
107,有限会社こおりタクシー,771-2107,徳島県美馬市美馬町中通２５５,34.0559476,134.1484993,"0120-254463,0883-63-2544",,,
108,オレンジタクシー,777-0002,徳島県美馬市穴吹町三島舞中島５７－６１,34.0559476,134.1484993,"0800-2000222,0883-53-3141",,,
109,三嶺タクシー,778-0202,徳島県三好市東祖谷久保７２７－９,33.8645844,133.9453344,0883-88-2420,,,
110,三協タクシー,778-0002,徳島県三好市池田町マチ２１６５－７,34.0283047,133.8036333,0883-72-3300,0883-72-0015,,
111,三協タクシー／白地営業所,778-5251,徳島県三好市池田町白地本名２０５－６,34.0124311,133.7829167,0883-74-0052,0883-74-1246,,
112,三協タクシー／箸蔵営業所,778-0020,徳島県三好市池田町州津大深田６３６－１,34.0398378,133.8480864,0883-72-1070,0883-76-0225,,
113,三協タクシー／井川営業所,779-4804,徳島県三好市井川町井内東1182,33.9887826,133.8994844,0883-78-2024,,,
114,三縄タクシー有限会社,779-5161,徳島県三好市池田町中西フロノタニ１４５３－１,34.0077456,133.7881772,0883-74-0057,0883-74-0014,http://ww81.tiki.ne.jp/~minawa/,
115,株式会社池田タクシー,778-0002,徳島県三好市池田町マチ２３５３－１,34.0302324,133.8114683,"0883-76-0011,介護タクシー事業部0883-76-0088",0883-72-0112,,
116,池田介護福祉タクシー,778-0006,徳島県三好市池田町トウゲ１４５－１,34.0285386,133.8261164,0120-723740,,,
117,有限会社マダムエイド,778-0001,徳島県三好市池田町ウヱノ２６７１－１１,34.0297377,133.7999422,"0120-178337,0883-72-2770",,,
118,かずら橋タクシー,778-0102,徳島県三好市西祖谷山村善徳５０－３,33.8787817,133.8267577,0883-87-2013,0883-87-2019,http://www.at-ml.jp/?in=56382,
119,グループホームもみじ,778-0000,徳島県三好市西祖谷山村西岡向１１０－１,33.883309,133.781273,0883-76-8033,,,
120,有限会社祖谷渓タクシー,778-0101,徳島県三好市西祖谷山村一宇３７０－７,33.8915162,133.8167501,0883-87-2017,0883-87-2041,http://iya-taxi.jp/,
121,大歩危タクシー,779-5452,徳島県三好市山城町上名１８７０－３,33.876508,133.76369,"090-3460-9980,0883-84-1225",0883-86-1074,http://www.ctm.ne.jp/~kawaguchi/,
122,介護タクシー悠和,779-5303,徳島県三好市山城町下川２４４,33.9707621,133.7692243,0883-86-1218,,,
123,川口タクシー,779-5315,徳島県三好市山城町引地１４８－４,33.9593416,133.7524425,0883-86-1221,,,
124,三和タクシー,771-2304,徳島県三好市三野町芝生２７３－１,34.0452048,133.9751844,"0120-77253,0883-77-2538",,,
125,介護福祉タクシー西井川,779-4806,徳島県三好市井川町西井川４３９－２,34.0292278,133.84234,0120-862878,,,
126,横瀬観光有限会社,771-4307,徳島県勝浦郡勝浦町三溪上川原４３－１７,33.9309862,134.4944138,0885-42-2068,,http://www.yokosekanko.com/,
127,佐那河内観光タクシー,771-4101,徳島県名東郡佐那河内村下中辺２４,33.993729,134.455597,"088-679-2128,088-679-2205",,,
128,佐那河内村救急患者輸送車,771-4101,徳島県名東郡佐那河内村下ウチウ３６－１,33.988794,134.476382,088-679-3999,,,
129,野木介護センター,779-3234,徳島県名西郡石井町石井白鳥５５８－１,34.0674464,134.4585775,088-674-7456,088-674-7448,http://www.nogikaigo.net/,
130,まよ観光タクシー有限会社,779-3233,徳島県名西郡石井町石井石井４２０－１,34.069573,134.444162,"0120-216246,088-674-3741",088-674-3825,,
131,宝タクシー株式会社石井営業所,779-3233,徳島県名西郡石井町石井石井４１８－１３,34.0695573,134.4445427,"0120-740752,088-674-0057",,,
132,あい介護福祉サービス有限会社,779-3233,徳島県名西群石井町石井石井140-2,34.068088,134.4415346,088-675-3313,088-675-3531,http://www.ai-kaigo.jp/taxi.html,
133,有限会社寄井観光石井出張所,779-3221,徳島県名西郡石井町高川原南島５９９－１,34.0779507,134.4293274,088-674-7750,,,
134,株式会社グリーン交通,779-3223,徳島県名西郡石井町高川原高川原９１７－３,34.0749038,134.4504977,"0120-814275,088-674-4275",088-674-4787,,
135,有限会社石井タクシー,779-3223,徳島県名西郡石井町高川原高川原９０３－１,34.0730643,134.4489593,"0120-212514,088-674-2514,088-674-0953",,,
136,有限会社寄井観光,771-3311,徳島県名西郡神山町神領本野間２５－３,33.9677352,134.3501996,088-676-0345,,,
137,有限会社川又タクシー,771-3422,徳島県名西郡神山町上分川又４７－７,33.9580806,134.2849849,088-677-0137,088-677-0148,,
138,つばめ観光有限会社,771-3201,徳島県名西郡神山町阿野五反地２９２－１,34.0272344,134.4017166,088-678-0224,,,
139,木頭観光タクシー,771-6402,徳島県那賀郡那賀町木頭出原テラモト３７,33.7721033,134.2027403,0884-68-2488,,,
140,相生タクシー有限会社,771-5410,徳島県那賀郡那賀町大久保川久保１３－１,33.8005193,134.4581906,0884-62-0102,,,
141,上那賀交通,771-5503,徳島県那賀郡那賀町小浜２５４,33.8040755,134.3719362,0884-66-0604,,,
142,平谷タクシー営業所,771-6324,徳島県那賀郡那賀町御所谷半名８－３,33.7899742,134.295699,0884-67-0614,,,
143,のぶのタクシー,771-5406,徳島県那賀郡那賀町延野大原２３－１,33.8201619,134.4848687,"0120-150071,0884-62-0071",,,
144,有限会社観光タクシー,771-5207,徳島県那賀郡那賀町阿井大町２８－６１,33.8490006,134.4838851,"0120-302811,0884-62-3028",,,
145,牟岐タクシー,775-0006,徳島県海部郡牟岐町中村本村２７３－９,33.6697454,134.4172641,0884-72-1133,,,
146,有限会社海部タクシー,775-0006,徳島県海部郡牟岐町中村山田９－３,33.6679872,134.4160115,0884-72-2665,,,
147,由岐タクシー,779-2103,徳島県海部郡美波町西の地東地６４－２３,33.7752067,134.5919877,0884-78-0268,,,
148,海南タクシー,779-2305,徳島県海部郡美波町奥河内寺前１９８－６,33.7307285,134.5324913,"0120-114417,0884-77-1144",,,
149,八山介護タクシー,775-0504,徳島県海部郡海陽町尾崎八山１６－２,33.5653662,134.28239,0884-76-2551,,,
150,海南観光タクシー,775-0203,徳島県海部郡海陽町大里中須９６－１,33.6011183,134.3544881,0884-73-0333,,,
151,大里タクシー,775-0203,徳島県海部郡海陽町大里松原４－８,33.6029625,134.3618624,0884-73-2900,,,
152,とどろきタクシー,775-0302,徳島県海部郡海陽町奥浦新町９－２,33.5956826,134.3558463,0884-73-0054,,,
153,介護タクシーフレンド,771-0214,徳島県板野郡松茂町満穂満穂開拓９１－３,34.139517,134.598516,"0800-2008851,088-678-8383",,,
154,空港タクシー有限会社,771-0219,徳島県板野郡松茂町笹木野八北開拓２５１１,34.138409,134.594767,088-699-8444,,,
155,有限会社松茂タクシー,771-0219,徳島県板野郡松茂町笹木野八北開拓２４７－１,34.1397593,134.591558,"0120-702210,088-699-2210",088-699-6060,,
156,有限会社ＪＩタクシー,771-0204,徳島県板野郡北島町鯛浜かや１３３－３,34.1180895,134.550665,"0120-345722,088-697-3457",088-697-3458,,
157,東宝タクシー有限会社北島営業所,771-0204,徳島県板野郡北島町鯛浜字外野19,34.110221,134.5559564,088-698-2221,,,
158,有限会社介護サービス藤井,771-0207,徳島県板野郡北島町新喜来二分１－７９,34.1394565,134.541443,088-698-7355,,,
159,北島タクシー,771-0206,徳島県板野郡北島町高房堤下４－２,34.1283742,134.5298332,088-698-2931,088-698-9039,,
160,空港タクシー有限会社,771-0205,徳島県板野郡北島町江尻松ノ本３０,34.1239638,134.5563976,"0120-189789,088-698-2217",,,
161,介護タクシー龍,771-1231,徳島県板野郡藍住町富吉須崎２９－２１,34.1399803,134.4836937,088-692-8085,,,
162,藍住タクシー,771-1220,徳島県板野郡藍住町東中富権現傍示３７,34.1246344,134.4762864,088-692-3156,088-692-4999,,
163,有限会社羅漢タクシー,779-0114,徳島県板野郡板野町羅漢前田３４－２,34.1341023,134.4320928,"0120-720184,088-672-0184",088-672-0258,http://dogyo2.main.jp/rakantaxi/ ,
164,板野タクシー,779-0105,徳島県板野郡板野町大寺平田４５－８,34.1422157,134.4661953,"0120-211225,088-672-0274",,,
165,介護タクシーソレイユ,779-0113,徳島県板野郡板野町黒谷磯尾山１－４３,34.138724,134.4267127,088-672-2119,,,
166,有限会社松島タクシー,771-1301,徳島県板野郡上板町鍛冶屋原北原５６－２,34.1206956,134.4006884,"0120-264888,088-694-2106",,,
167,有限会社半田タクシー,779-4401,徳島県美馬郡つるぎ町半田中藪３８６－１,34.0413789,134.0368643,0883-64-3141,,,
168,貞光タクシー有限会社,779-4102,徳島県美馬郡つるぎ町貞光野口２－８,34.0381376,134.059885,"0120-316600,0883-62-3166",,,
169,ヒルマタクシー,771-2501,徳島県三好郡東みよし町昼間３８８４－５,34.0429099,133.8660649,0883-79-2302,,,
170,西徳タクシー有限会社,779-4701,徳島県三好郡東みよし町加茂３４６７,34.0269423,133.9394876,"0120-222088,0883-82-2220",,,
171,三加茂タクシー,779-4701,徳島県三好郡東みよし町加茂２９３８－３,34.0370718,133.9289744,0883-82-2116,,,
172,訪問介護ケアセンターひばり,779-4701,徳島県三好郡東みよし町加茂１７４３－２,34.0385744,133.9318935,0883-82-1028,,,
